DOC_ID;U8196_PERIODODIRIFERIMENTO
{00B1D062-0000-C742-81C9-63B59522899C};201804
{00B1D062-0000-C95D-AE3C-50820E13B819};201804
{10B1D062-0000-C129-AD04-840C0904B1BA};201804
{60B1D062-0000-C926-92FE-91027C2520DC};201804
{00B1D062-0000-CF19-9FA9-DA1C674E3179};201804
{00B1D062-0000-C930-AE1A-0FF37375BA23};201804
{F0B0D062-0000-CFA9-B518-8847A8B28DD5};201711
{F0B0D062-0000-C6B9-8648-ACA30AC17364};201804
{40B1D062-0000-C910-A342-177916270768};201804
{40B1D062-0000-C135-AA87-1A7E6C412BEA};201804
{F0B0D062-0000-CB53-A591-EA9E6394EA49};201804
{F0B0D062-0000-CF63-A804-0A177BA595A5};201804
{F0B0D062-0000-CF7A-B304-2178ADFA955E};201804
{F0B0D062-0000-CA9E-94EB-49AFDF2075DA};201802
{50B1D062-0000-C75E-ACC9-0CF542406622};201804
{60B1D062-0000-C711-BA36-7D30E594A362};201804
{40B1D062-0000-CB61-873B-6B745338CDF3};201804
{50B1D062-0000-CC19-A689-8D2F44591309};201804
{50B1D062-0000-CB23-BB69-DE4B966EAAEF};201804
{30B1D062-0000-C144-8F1A-61258C3E90A2};201804
{30B1D062-0000-C153-9CAA-BAC42BD77142};201804
{F0B0D062-0000-C518-9513-61DC83F06028};201803
{F0B0D062-0000-C928-8378-C4344BDF0BD8};201804
{F0B0D062-0000-C63B-B79C-C32C9AB972D3};201802
{F0B0D062-0000-C940-AADB-352186308E6B};201804
{10B1D062-0000-CA65-9455-DED0D8F0ED6F};201804
{20B1D062-0000-C848-A1D5-2BCE6E183F80};201804
{30B1D062-0000-C938-AAAB-B2787B6725A8};201804
{F0B0D062-0000-C7D5-A150-0E84065DE5C3};201804
{00B1D062-0000-CA2A-9F6D-B8DB34B39C5E};201804
{00B1D062-0000-C865-95B3-5ACA9DA13D73};201804
{10B1D062-0000-C21F-A6F7-766BB86E34CD};201804
{20B1D062-0000-CF53-86E6-40EDE6C14F8F};201804
{20B1D062-0000-C069-80E7-94210BD22A98};201804
{30B1D062-0000-CE1E-9EC2-20D80894A7E8};201804
{30B1D062-0000-C422-84F2-FCD718B1C175};201804
{40B1D062-0000-C724-AD99-DE1E90B09F5E};201804
{40B1D062-0000-C640-BCA4-B36F798F1A22};201804
{40B1D062-0000-C650-A60B-5BCF20D6F863};201804
{50B1D062-0000-C139-825F-902E531C6BA4};201804
{50B1D062-0000-CC4D-AFBB-920BC31DAEC2};201804
{60B1D062-0000-C730-82E2-42FE6545A06F};201804
{10B1D062-0000-CB30-9394-E8F0A25A5219};201804
{10B1D062-0000-C442-A87F-E8F2F1C2E7BD};201804
{10B1D062-0000-CE53-B489-0BD25EF3FB51};201804
{20B1D062-0000-C41A-B46B-71292E6DD6B4};201804
{F0B0D062-0000-CE8E-9252-8DEA800D5655};201804
{F0B0D062-0000-C8CC-9AE3-CE1ACF82B411};201804
{20B1D062-0000-C922-83B0-440F24E8CE3C};201804
{20B1D062-0000-CA35-B487-D60815E0FC5C};201804
{604AA566-0000-C814-B82E-96E2EDE307BA};201810
{604AA566-0000-CD2D-A05B-CE0F1653BEB8};201810
{604AA566-0000-CC32-8A5F-A206F4F17250};201810
{604AA566-0000-C444-BBBB-61998ADF8D47};201810
{F0DE6365-0000-C967-801C-1CA789F4193E};201808
{F0DE6365-0000-C077-97AC-FE3E136B12F8};201805
{604AA566-0000-C25C-AB34-F32C9C40B971};201810
{704AA566-0000-C71E-9C55-D554ABF037F8};201805
{104BA566-0000-CD30-8154-680CA1A78B28};201806
{204BA566-0000-C71B-818F-225F6EF0B624};201808
{10AD3A65-0000-C52E-9A44-9669EC63711E};201807
{00DF6365-0000-CC17-B9F8-8BC9968E8F0C};201808
{00DF6365-0000-C42E-86CB-A77A2CC7F9C0};201808
{10AD3A65-0000-CD37-917D-9CBEBDB47FE1};201808
{00DF6365-0000-C938-94D3-F5E642152EFB};201808
{00DF6365-0000-C84B-A351-F447FBAA4EE0};201802
{00DF6365-0000-C45D-B6BE-2A8BB17DB03A};201807
{704AA566-0000-C128-A1E3-B7A426B62002};201810
{704AA566-0000-C534-81DD-76BC2916C9DF};201810
{704AA566-0000-C141-B278-A9BB6292A8EF};201810
{804AA566-0000-C41C-B3A2-E4C35A7F6660};201809
{804AA566-0000-C02E-82DA-5685ADCCD031};201810
{F0DE6365-0000-C115-99AD-8046C375F821};201806
{F0DE6365-0000-C12F-8A5E-DD1B5A6ECEE3};201806
{F0DE6365-0000-C13C-9731-A037DA951E5B};201805
{F0DE6365-0000-CB4C-81F6-E2EA87FE59F1};201808
{F0DE6365-0000-C75C-8837-DA6C543A4E3C};201806
{804AA566-0000-C23E-A928-73F0DDD959F6};201810
{804AA566-0000-C34F-894C-99F4551D5F4F};201810
{804AA566-0000-C051-917E-58EC34816D01};201806
{904AA566-0000-C912-A842-E9DB8DF1F740};201810
